Species;ID;Locality;Brazilian State;Latitude;Longitude;Altitude
G. amarali;GRC24211;Alto Paraiso;GO;-14.16;-47.62;1166
G. amarali;GRC24210;Alto Paraiso;GO;-14.16;-47.62;1166
G. amarali;53290;Cavalcante;GO;-13.64;-47.72;961
G. amarali;53292;Cavalcante;GO;-13.64;-47.72;961
G. amarali;53294;Cavalcante;GO;-13.64;-47.72;961
G. amarali;53293;Cavalcante;GO;-13.64;-47.72;961
G. amarali;53291;Cavalcante;GO;-13.64;-47.72;961
G. amarali;38645;Cocalzinho de Goias;GO;-15.64;-48.55;738
G. amarali;38646;Cocalzinho de Goias;GO;-15.64;-48.55;738
G. amarali;44704;Colinas do Sul;GO;-13.99;-48.09;511
G. amarali;44698;Colinas do Sul;GO;-13.99;-48.09;511
G. amarali;2202;Minacu;GO;-13.5;-48.4;427
G. amarali;2211;Minacu;GO;-13.5;-48.4;427
G. amarali;2153;Minacu;GO;-13.5;-48.4;427
G. amarali;2154;Minacu;GO;-13.5;-48.4;427
G. amarali;2207;Minacu;GO;-13.5;-48.4;427
G. amarali;2199;Minacu;GO;-13.5;-48.4;427
G. amarali;831;Minacu;GO;-13.5;-48.4;427
G. amarali;832;Minacu;GO;-13.5;-48.4;427
G. amarali;2204;Minacu;GO;-13.5;-48.4;427
G. amarali;2173;Minacu;GO;-13.5;-48.4;427
G. amarali;2152;Minacu;GO;-13.5;-48.4;427
G. amarali;53059;Monte Alegre de Goias;GO;-13.25;-46.9;564
G. amarali;53062;Monte Alegre de Goias;GO;-13.25;-46.9;564
G. amarali;53061;Monte Alegre de Goias;GO;-13.25;-46.9;564
G. amarali;53052;Monte Alegre de Goias;GO;-13.25;-46.9;564
G. amarali;53054;Monte Alegre de Goias;GO;-13.25;-46.9;564
G. amarali;53058;Monte Alegre de Goias;GO;-13.25;-46.9;564
G. amarali;53056;Monte Alegre de Goias;GO;-13.25;-46.9;564
G. amarali;53060;Monte Alegre de Goias;GO;-13.25;-46.9;564
G. amarali;53055;Monte Alegre de Goias;GO;-13.25;-46.9;564
G. amarali;53051;Monte Alegre de Goias;GO;-13.25;-46.9;564
G. amarali;LG1075;Niquelandia;GO;-14.45;-48.45;594
G. amarali;LG1083;Niquelandia;GO;-14.45;-48.45;594
G. amarali;LG1072***;Niquelandia;GO;-14.45;-48.45;594
G. amarali;67395;Pirenopolis;GO;-15.81;-48.87;1324
G. amarali;67440;Pirenopolis;GO;-15.81;-48.87;1324
G. amarali;67396;Pirenopolis;GO;-15.81;-48.87;1324
G. amarali;67399;Pirenopolis;GO;-15.81;-48.87;1324
G. amarali;67392;Pirenopolis;GO;-15.81;-48.87;1324
G. amarali;67394;Pirenopolis;GO;-15.81;-48.87;1324
G. amarali;67397;Pirenopolis;GO;-15.81;-48.87;1324
G. amarali;67437;Pirenopolis;GO;-15.81;-48.87;1324
G. amarali;67441;Pirenopolis;GO;-15.81;-48.87;1324
G. amarali;67438;Pirenopolis;GO;-15.81;-48.87;1324
G. amarali;67393;Pirenopolis;GO;-15.81;-48.87;1324
G. amarali;67398***;Pirenopolis;GO;-15.81;-48.87;1324
G. amarali;67443***;Pirenopolis;GO;-15.81;-48.87;1324
G. amarali;15564;Sao Domingos;GO;-13.45;-46.45;456
G. amarali;15560;Sao Domingos;GO;-13.45;-46.45;456
G. amarali;15558;Sao Domingos;GO;-13.45;-46.45;456
