;ID;;Colecao;Localidade;UF;Latitude;Longitude;Altitude..m.;Especie_Fabricius;Especie_Welington;gymno_clades;HemipenisMedido;Hemipenis_Evertido;No_LACV;FabDocCh4AP;FabDocCh2;FabMestrado
56;196;SIM;ESTR;Carolina;MA;-7.37;-47.43;175;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
57;197;SIM;ESTR;Carolina;MA;-7.37;-47.43;175;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
6;831;SIM;CHUNB;Minacu;GO;-13.5;-48.4;427;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
55;889;SIM;LG;BarradoGarcas;TO;-15.88;-52.25;310;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
8;1083;SIM;LG;Niquelandia;GO;-14.45;-48.45;594;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
2;2153;SIM;NA;Minacu;GO;-13.5;-48.4;427;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
3;2154;SIM;NA;Minacu;GO;-13.5;-48.4;427;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
7;2173;SIM;NA;Minacu;GO;-13.5;-48.4;427;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
5;2199;SIM;NA;Minacu;GO;-13.5;-48.4;427;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
1;2202;SIM;NA;Minacu;GO;-13.5;-48.4;427;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
4;2207;SIM;NA;Minacu;GO;-13.5;-48.4;427;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
29;6889;SIM;MTR;LajeadoUHE;TO;-9.85;-48.32;487;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
27;6918;SIM;MTR;LajeadoUHE;TO;-9.85;-48.32;487;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
24;7479;SIM;MTR;Guarai;TO;-8.83;-48.52;265;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
25;7542;SIM;MTR;Guarai;TO;-8.83;-48.52;265;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
31;8674;SIM;NA;Mateiros;TO;-10.7;-46.41;632;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
33;8675;SIM;NA;Mateiros;TO;-10.7;-46.41;632;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
32;8743;SIM;NA;Mateiros;TO;-10.7;-46.41;632;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
36;8808;SIM;NA;Mateiros;TO;-10.7;-46.41;632;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
34;8841;SIM;NA;Mateiros;TO;-10.7;-46.41;632;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
35;8928;SIM;NA;Mateiros;TO;-10.7;-46.41;632;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
37;8980;SIM;NA;Mateiros;TO;-10.7;-46.41;632;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
26;8991;SIM;MTR;LajeadoUHE;TO;-9.85;-48.32;487;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
